job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Terraform"
Backend Developer,"Java, Python, SQL, APIs, Data Structures, Spring Boot, REST"
Frontend Developer,"JavaScript, React, HTML, CSS, TypeScript, UI Design, Web Design"
Cloud Architect,"AWS, Cloud Computing, Automation, Networking, Security, Terraform, Kubernetes"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Deep Learning, Data Structures, Algorithms"
Full Stack Developer,"JavaScript, React, Node.js, SQL, APIs, HTML, CSS, Python"
Sys Admin,"Linux, Networking, Automation, Bash Scripting, Security, Cloud Computing"
Data Engineer,"Python, SQL, ETL, Data Structures, Cloud Computing, Spark, Automation"
Mobile App Developer,"Java, Kotlin, Swift, Mobile UI, APIs, Android, iOS"
Security Engineer,"Networking, Security, Linux, Cryptography, Automation, Cloud Computing"
QA / Test Automation Engineer,"Python, Automation, Selenium, Testing, CI/CD, Java"
Database Administrator,"SQL, Database Design, Data Structures, Performance Tuning, Cloud Computing"
AI Research Engineer,"Python, Machine Learning, Deep Learning, Algorithms, Statistics, Research"
